sample_id	s__Actinomyces_graevenitzii	s__Actinomyces_massiliensis	s__Actinomyces_naeslundii	s__Actinomyces_odontolyticus	s__Actinomyces_oris	s__Actinomyces_viscosus	s__Corynebacterium_durum	s__Corynebacterium_matruchotii	s__Rothia_aeria	s__Rothia_dentocariosa	s__Rothia_mucilaginosa	s__Propionibacterium_propionicum	s__Scardovia_unclassified	s__Scardovia_wiggsiae	s__Atopobium_parvulum	s__Slackia_unclassified	s__Bacteroidetes_oral_taxon_274	s__Porphyromonas_catoniae	s__Porphyromonas_endodontalis	s__Porphyromonas_sp_oral_taxon_279	s__Alloprevotella_rava	s__Alloprevotella_tannerae	s__Alloprevotella_unclassified	s__Prevotella_denticola	s__Prevotella_histicola	s__Prevotella_intermedia	s__Prevotella_loescheii	s__Prevotella_melaninogenica	s__Prevotella_nanceiensis	s__Prevotella_nigrescens	s__Prevotella_oris	s__Prevotella_oulorum	s__Prevotella_pallens	s__Prevotella_salivae	s__Prevotella_veroralis	s__Capnocytophaga_gingivalis	s__Capnocytophaga_granulosa	s__Capnocytophaga_unclassified	s__Riemerella_unclassified	s__candidate_division_TM7_single_cell_isolate_TM7c	s__Gemella_haemolysans	s__Gemella_morbillorum	s__Gemella_sanguinis	s__Gemella_unclassified	s__Staphylococcus_aureus	s__Staphylococcus_epidermidis	s__Staphylococcus_saprophyticus	s__Abiotrophia_defectiva	s__Granulicatella_adiacens	s__Granulicatella_elegans	s__Granulicatella_unclassified	s__Streptococcus_anginosus	s__Streptococcus_australis	s__Streptococcus_cristatus	s__Streptococcus_gordonii	s__Streptococcus_infantis	s__Streptococcus_intermedius	s__Streptococcus_mitis_oralis_pneumoniae	s__Streptococcus_oligofermentans	s__Streptococcus_parasanguinis	s__Streptococcus_pyogenes	s__Streptococcus_salivarius	s__Streptococcus_sanguinis	s__Streptococcus_thermophilus	s__Streptococcus_tigurinus	s__Streptococcus_vestibularis	s__Finegoldia_magna	s__Parvimonas_unclassified	s__Eubacterium_brachy	s__Lachnoanaerobaculum_saburreum	s__Lachnospiraceae_bacterium_ICM7	s__Oribacterium_sinus	s__Stomatobaculum_longum	s__Eubacterium_yurii	s__Peptostreptococcus_stomatis	s__Peptostreptococcus_unclassified	s__Bulleidia_extructa	s__Solobacterium_moorei	s__Dialister_invisus	s__Megasphaera_micronuciformis	s__Veillonella_atypica	s__Veillonella_dispar	s__Veillonella_parvula	s__Veillonella_unclassified	s__Fusobacterium_nucleatum	s__Fusobacterium_periodonticum	s__Leptotrichia_shahii	s__Leptotrichia_unclassified	s__Achromobacter_xylosoxidans	s__Bordetella_unclassified	s__Lautropia_mirabilis	s__Eikenella_corrodens	s__Kingella_denitrificans	s__Kingella_oralis	s__Kingella_unclassified	s__Neisseria_elongata	s__Neisseria_flavescens	s__Neisseria_lactamica	s__Neisseria_macacae	s__Neisseria_meningitidis	s__Neisseria_sicca	s__Neisseria_sp_oral_taxon_014	s__Neisseria_subflava	s__Neisseria_unclassified	s__Campylobacter_concisus	s__Cardiobacterium_hominis	s__Citrobacter_freundii	s__Citrobacter_unclassified	s__Escherichia_unclassified	s__Actinobacillus_unclassified	s__Aggregatibacter_aphrophilus	s__Aggregatibacter_segnis	s__Haemophilus_haemolyticus	s__Haemophilus_influenzae	s__Haemophilus_parahaemolyticus	s__Haemophilus_parainfluenzae	s__Haemophilus_paraphrohaemolyticus	s__Haemophilus_sputorum	s__Moraxella_catarrhalis	s__Pseudomonas_aeruginosa	s__Pseudomonas_unclassified	s__Stenotrophomonas_maltophilia	s__Stenotrophomonas_unclassified	s__Akkermansia_muciniphila	s__Candida_albicans	s__Pseudomonas_phage_phiCTX	s__Streptococcus_phage_Cp_1	s__Staphylococcus_phage_PVL	s__Human_adenovirus_D	s__Torque_teno_virus_10	s__Mouse_mammary_tumor_virus	s__Murine_osteosarcoma_virus	s__Porcine_type_C_oncovirus
C01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37651	0.0	0.0	6.92891	0.0	0.0	0.0	0.0	3.33369	0.0	0.0	0.0	0.0	0.0	0.0	0.63533	0.0	0.0	6.99538	0.0	0.0	0.0	62.44705	0.0	0.0	0.0	0.0	0.0	0.18745	0.0	0.0	0.0	0.0	0.0	0.0	15.18753	0.0	0.0	0.0	1.96142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.04793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.88896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.12643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.37559	0.0	1.48981	0.45598	18.85083	0.0	1.60565	0.0	0.73163	0.73777	3.7061	0.03038	0.98299	0.0	0.0	4.79227	0.0	11.16237	0.0	3.16361	0.0	4.38866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0992	0.0	0.0	0.0	0.33701	0.0	0.1263	3.26966	0.21517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.75936	0.0	0.0	1.59884	0.0	0.0	4.08142	5.98174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9526	0.0	0.0	0.0	0.0	0.0	0.53832	0.50342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C03	1.2172	0.0	0.0	0.0	0.12935	0.03631	0.15511	0.22865	0.26293	0.66919	6.0181	0.0422	0.0	0.11096	0.01947	0.0	0.0	0.0	0.0	2.68862	0.0	0.0	0.06863	0.0801	0.65218	0.0	0.0	12.62706	0.15911	0.0	0.80833	0.2346	0.0	0.04478	0.0	0.10872	0.0	1.0394	0.0	0.0	3.63192	0.35486	2.6726	0.0	0.14471	0.0	0.0	1.10219	0.04773	1.19254	0.45004	0.92723	0.44307	0.09003	0.05439	2.99999	0.0	4.94954	0.02293	5.69546	0.0	2.70877	2.48639	0.0	0.0	0.0	0.0	0.02375	0.0	0.01166	0.77454	0.125	0.47525	0.0	0.04066	0.36002	0.0	0.12684	0.01571	0.0	0.22533	0.05245	0.78814	7.60768	0.19076	0.84744	0.0	0.26148	0.0	0.0	0.36367	0.0	0.22741	0.0	0.00741	0.0	0.10598	0.0	0.0	0.09901	0.98583	5.91487	0.58594	3.10635	0.16811	0.0	0.0	0.0	0.0	0.0871	0.0	0.0	0.2063	0.06584	0.06689	11.80988	0.0	0.0	0.0	3.01277	0.0	0.0	0.0	0.0	0.0	0.0	3.16886	0.0	0.0	0.0	0.0	0.0	0.0
C04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.48588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.47898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.77763	1.25751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.35684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.64316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.67538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.84914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.47548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.2464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.85206	5.77587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.51691	0.0	0.0	0.32976	0.0	0.0	0.0	93.13848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.60638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C10	0.0	0.0	0.0	0.04182	0.0	0.0	0.0	0.0	1.38638	0.0	8.83207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.11826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.89618	2.63933	0.0	0.0	0.0	0.10807	0.0	0.0	0.34746	0.07411	4.9828	0.0	0.0	0.45401	0.0	5.99115	0.0	40.87073	0.0	0.0	0.06438	0.0	0.0	0.06354	0.0	2.00504	0.0	0.0	0.55582	0.0	0.8549	0.0	0.0	0.0	0.0	0.50402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5727	0.41693	0.0	0.0	0.0	0.0	0.0	0.05553	0.0	0.0	0.0	0.0	0.4278	0.0	1.2888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.49772	0.674	0.0	0.0	0.0	0.0	0.0	0.17063	0.0	0.0	0.0	0.0
C11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00273	0.0	0.0	0.0	0.0	0.0	0.0	0.05264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02824	0.0	0.0	0.0	0.0	0.0	0.0	98.92379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92929	0.06332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
